city,city_id,country,distance,latitude,longitude,member_count,ranking,state,zip
West New York,7093,us,2524.541,40.790001,-74.010002,661,32,NJ,7093
New York,10001,us,2526.837,40.75,-73.989998,229371,0,NY,10001
New York Mills,13417,us,2392.162,43.099998,-75.290001,22,109,NY,13417
East Chicago,46312,us,1810.371,41.639999,-87.459999,31,90,IN,46312
New York Mills,56567,us,1418.834,46.689999,-95.349998,5,1,MN,56567
North Chicago,60064,us,1779.682,42.330002,-87.860001,45,32,IL,60064
West Chicago,60185,us,1768.894,41.889999,-88.199997,214,95,IL,60185
Chicago Heights,60411,us,1804.834,41.509998,-87.610001,141,128,IL,60411
Chicago Ridge,60415,us,1793.115,41.700001,-87.779999,77,178,IL,60415
Chicago,60601,us,1798.434,41.880001,-87.620003,90918,0,IL,60290
South San Francisco,94080,us,25.883,37.650002,-122.43,511,0,CA,94080
San Francisco,94101,us,31.839,37.779999,-122.419998,60351,2,CA,94101
Chicago Park,95712,us,133.891,39.16,-120.959999,4,32,CA,95712
