"topic_id","topic_key","topic_name","group_id"
"83","sportsfans","Sports Fan","241031"
"83","sportsfans","Sports Fan","289172"
"83","sportsfans","Sports Fan","295444"
"83","sportsfans","Sports Fan","1040320"
"83","sportsfans","Sports Fan","1403055"
"83","sportsfans","Sports Fan","1426482"
"83","sportsfans","Sports Fan","1491757"
"83","sportsfans","Sports Fan","1492775"
"83","sportsfans","Sports Fan","1621920"
"83","sportsfans","Sports Fan","1683009"
"83","sportsfans","Sports Fan","1714061"
"83","sportsfans","Sports Fan","1733916"
"83","sportsfans","Sports Fan","3546292"
"83","sportsfans","Sports Fan","3680352"
"83","sportsfans","Sports Fan","3785922"
"83","sportsfans","Sports Fan","3884992"
"83","sportsfans","Sports Fan","4021122"
"83","sportsfans","Sports Fan","4274282"
"83","sportsfans","Sports Fan","4286742"
