"topic_id","topic_key","topic_name","member_id"
"83","Sports Fan","sportsfans","121483"
"83","Sports Fan","sportsfans","165644"
"83","Sports Fan","sportsfans","327482"
"83","Sports Fan","sportsfans","337743"
"83","Sports Fan","sportsfans","358259"
"83","Sports Fan","sportsfans","369808"
"83","Sports Fan","sportsfans","383024"
"83","Sports Fan","sportsfans","484925"
"83","Sports Fan","sportsfans","504385"
"83","Sports Fan","sportsfans","522784"
"83","Sports Fan","sportsfans","655407"
"83","Sports Fan","sportsfans","769330"
"83","Sports Fan","sportsfans","888093"
"83","Sports Fan","sportsfans","1068199"
"83","Sports Fan","sportsfans","1124196"
"83","Sports Fan","sportsfans","1383703"
"83","Sports Fan","sportsfans","1504289"
"83","Sports Fan","sportsfans","1720007"
"83","Sports Fan","sportsfans","1774292"
"83","Sports Fan","sportsfans","1798966"
