 "s1" , "p1" , "s2" , "p2" , "s3" , "p3" , "o" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://www.w3.org/2000/01/rdf-schema#Class" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#domain" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://www.w3.org/2000/01/rdf-schema#Datatype" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#Class" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#Class" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#domain" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#Class" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#Class" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#domain" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#Class" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#domain" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#range" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
 "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#domain" , "http://www.w3.org/2000/01/rdf-schema#Class" , "http://www.w3.org/2000/01/rdf-schema#subClassOf" , "http://www.w3.org/2000/01/rdf-schema#Class" ,
